Nível;Indicador;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;Unidade
1.2.2.2;Anos finais;7879;7568;7503;7545;8031;7504;7893;7976;8042;8047;7843;7847;7428;7233;docentes
1.2.2.2.1;Municipal;777;724;704;739;937;845;882;1148;1234;1289;1378;1449;1460;1458;docentes
1.2.2.2.2;Estadual;5479;5347;5308;5258;5183;4838;5007;4819;4584;4427;4128;3875;3577;3234;docentes
1.2.2.2.3;Federal;53;53;42;41;48;49;45;51;44;44;45;44;42;37;docentes
1.2.2.2.4;Privado;1919;1850;1824;1831;2237;2123;2372;2350;2557;2677;2656;2857;2748;2876;docentes
1.2.3;Ensino médio;6124;5987;5650;5957;6049;5972;6581;6444;6362;6156;6039;5973;5836;6184;docentes
1.3;Escolas;;;;;;;;;;;;;;;
1.3.1;Ensino infantil;672;650;641;606;938;798;883;822;916;927;968;1001;919;909;escolas
1.3.1.1;Creche;199;223;236;248;346;339;390;470;570;618;666;732;669;556;escolas
1.3.1.1.1;Municipal;54;60;65;69;78;83;84;91;102;115;128;127;128;127;escolas
1.3.1.1.2;Estadual;4;1;;;;;;;;;;;;;escolas
1.3.1.1.3;Federal;;;;;;;;;;;;;;;escolas
1.3.1.1.4;Privado;141;162;171;179;268;256;306;379;468;503;538;605;541;429;escolas
1.3.1.2;Pré-escolar;645;620;608;565;908;774;860;800;886;893;933;969;900;889;escolas
1.3.1.2.1;Municipal;257;264;269;268;269;262;265;267;264;249;251;241;230;225;escolas
1.3.1.2.2;Estadual;7;3;;1;;;;;;;;;;;escolas
1.3.1.2.3;Federal;;;;;;;;;;;;;;;escolas
1.3.1.2.4;Privado;381;353;339;296;639;512;595;533;622;644;682;728;670;664;escolas
1.3.2;Ensino fundamental;844;825;818;783;1126;978;1065;1007;1109;1145;1173;1184;1120;1170;escolas
1.3.2.1;Anos iniciais;677;649;632;599;934;776;851;794;895;925;955;972;903;955;escolas
1.3.2.1.1;Municipal;335;338;342;342;345;340;340;331;326;322;311;308;301;299;escolas
1.3.2.1.2;Estadual;67;60;43;42;34;21;15;12;12;10;6;5;3;3;escolas
1.3.2.1.3;Federal;;;;;;;;;;;;;;;escolas
1.3.2.1.4;Privado;275;251;247;215;555;415;496;451;557;593;638;659;599;653;escolas
1.3.2.2;Anos finais;388;383;381;360;435;409;437;427;466;493;491;502;496;516;escolas
1.3.2.2.1;Municipal;37;36;38;33;46;49;49;51;52;54;57;58;63;64;escolas
1.3.2.2.2;Estadual;203;205;200;199;193;186;186;184;184;183;174;168;167;165;escolas
1.3.2.2.3;Federal;1;1;1;1;1;1;1;1;1;1;1;1;1;1;escolas
1.3.2.2.4;Privado;147;141;142;127;195;173;201;191;229;255;259;275;265;286;escolas
1.3.3;Ensino médio;231;232;233;234;241;240;255;253;263;265;265;269;267;319;escolas
2;Ensino superior;;;;;;;;;;;;;;;
2.1;Matrículas;;;;;;;;;;;;;;;matrículas
2.1.1;Municipal;;;;;;;;;;;;;;;matrículas
2.1.2;Estadual;;;;;;;;;;;;;;;matrículas
2.1.3;Federal;;;;;;;;;;;;;;;matrículas
2.1.4;Privado;;;;;;;;;;;;;;;matrículas
2.2;Docentes;;;;;;;;;;;;;;;docentes
2.2.1;Municipal;;;;;;;;;;;;;;;docentes
2.2.2;Estadual;;;;;;;;;;;;;;;docentes
2.2.3;Federal;;;;;;;;;;;;;;;docentes
2.2.4;Privado;;;;;;;;;;;;;;;docentes
2.3;Escolas;;;;;;;;;;;;;;;escolas
2.3.1;Municipal;;;;;;;;;;;;;;;escolas
2.3.2;Estadual;;;;;;;;;;;;;;;escolas
2.3.3;Federal;;;;;;;;;;;;;;;escolas
2.3.4;Privado;;;;;;;;;;;;;;;escolas



Fonte: INSTITUTO NACIONAL DE ESTUDOS E PESQUISAS EDUCACIONAIS ANÍSIO TEIXEIRA. Sinopse Estatística da Educação Básica 2016. Brasília: Inep, 2017. Disponível em <http://portal.inep.gov.br/sinopses-estatisticas-da-educacao-basica>. Acesso em: 10 05. 2019.
